start,end,asset_name,delta_downloads
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.7.5.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.7.6.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.8.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.8.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.8.2.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.9.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.9.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.9.2.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.9.3.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.10.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.10.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.10.2.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.11.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.12.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.13.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.13.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.14.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.14.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.15.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.15.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.15.2.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.16.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.2.10.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.2.11.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.2.12.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.2.13.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.3.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.3.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.3.2.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.3.3.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.3.4.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.3.5.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.4.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.5.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.5.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.6.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.7.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.8.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.9.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v2.9.1.zip,1
2026.8.16 18.46,2026.8.16 19.00,sf6_dashboard_bundle_latest.zip,1
